C001,Classic Vampire Lord Costume,HALLOWEEN,55.00,L,5,images/halloween_vampire.jpg
C002,Enchanting Witch Dress,HALLOWEEN,49.50,M,8,images/halloween_witch.jpg
C003,Spooky Ghost Poncho,HALLOWEEN,30.00,One Size,10,images/halloween_ghost.jpg
C004,Zombie School Uniform,HALLOWEEN,60.00,S,4,images/halloween_zombie.jpg
C005,Fierce Werewolf Outfit,HALLOWEEN,75.00,L,3,images/halloween_werewolf.jpg
C006,Deluxe Santa Claus Suit,CHRISTMAS,80.00,L,4,images/christmas_santa.jpg
C007,Cozy Reindeer Onesie,CHRISTMAS,45.00,M,7,images/christmas_reindeer.jpg
C008,Santa's Helper Elf Tunic,CHRISTMAS,38.50,S,9,images/christmas_elf.jpg
C0O9,Jolly Snowman Mascot,CHRISTMAS,65.00,One Size,3,images/christmas_snowman.jpg
C010,Sparkling Christmas Tree Dress,CHRISTMAS,55.00,M,5,images/christmas_tree_dress.jpg
C011,Retro Modern Hakama Set (Red),GRADUATION_CEREMONY,120.00,M,6,images/graduation_hakama_red.jpg
C012,Classic Hakama Set (Purple),GRADUATION_CEREMONY,110.00,L,7,images/graduation_hakama_purple.jpg
C013,Formal Montsuki Hakama (Black),GRADUATION_CEREMONY,150.00,L,3,images/graduation_montsuki_black.jpg
C014,Chic Graduation Pant Suit,GRADUATION_CEREMONY,90.00,S,5,images/graduation_suit_female.jpg
C015,Slim Fit Graduation Suit,GRADUATION_CEREMONY,95.00,M,8,images/graduation_suit_male.jpg
C016,Blue Morning Glory Yukata,SUMMER_FESTIVALS,60.00,M,10,images/summer_yukata_female_blue.jpg
C017,Pink Cherry Blossom Yukata,SUMMER_FESTIVALS,65.00,S,8,images/summer_yukata_female_pink.jpg
C018,Navy Striped Yukata,SUMMER_FESTIVALS,55.00,L,9,images/summer_yukata_male_navy.jpg
C019,Cool Cotton Jinbei Set,SUMMER_FESTIVALS,45.00,M,12,images/summer_jinbei_male.jpg
C020,Festival Happi Coat (Red),SUMMER_FESTIVALS,35.00,One Size,15,images/summer_happi_red.jpg
C021,Elegant Navy Lace Dress,WEDDING_GUEST,85.00,M,7,images/wedding_dress_navy.jpg
C022,Pastel Pink A-Line Dress,WEDDING_GUEST,90.00,S,6,images/wedding_dress_pink.jpg
C023,Charcoal Gray Three-Piece Suit,WEDDING_GUEST,130.00,L,4,images/wedding_suit_gray.jpg
C024,Classic Black Tuxedo,WEDDING_GUEST,140.00,M,3,images/wedding_tuxedo_black.jpg
C025,Formal Houmongi Kimono,WEDDING_GUEST,180.00,L,2,images/wedding_kimono_houmongi.jpg